date,order_id,item,price,quantity,total,customer_id
2018-08-12T01:45:13.000000Z,03d7f59b-287f-427e-b483-1c59d799f464,Cup,21.0,5,105.0,5580c6ee-5018-4d3b-81e4-93829d14668c
2018-02-26T19:38:28.000000Z,93e2faa6-a789-4423-8d99-f234fbda9794,Bowl,40.0,1,40.0,831a93d3-e77d-4be3-b4c4-3f851f70727d
2018-04-06T04:46:53.000000Z,15216a16-179d-440c-a11b-e12cb1ea62d2,Teapot,5.0,5,25.0,6055c1bd-8e13-4c79-963e-898d321bb39f
2018-06-24T16:22:17.000000Z,e7f7cd17-7ebf-437b-8fee-e454b022ed77,Bowl,40.0,2,80.0,8aea555d-2707-4a6c-b42b-bf46f1c093a8
2018-10-09T04:25:09.000000Z,831cff6e-f70a-4b06-bbb3-fb53fc61f7c7,Cup,40.0,2,80.0,a599d5b1-23e5-453b-b346-f9ccb1bfe359
2018-05-16T13:05:08.000000Z,4d769178-66d2-4a57-a2e3-437d71180470,Bottle,42.0,5,210.0,d1dfdaac-c61a-4a48-9dee-c9051032e99b
2018-04-10T16:59:26.000000Z,b86ee79c-1e8e-4c4d-9582-5d8c063b27ff,Cup,5.0,10,50.0,6055c1bd-8e13-4c79-963e-898d321bb39f
2018-04-22T02:42:40.000000Z,a97cf5d7-d463-4f57-bc31-001c2b5a6d54,Mug,21.0,10,210.0,02c96f8c-3fe3-4e3b-965f-1995ef3ad3fc
2018-09-17T01:15:59.000000Z,72d4f319-5ea2-4d87-9407-b789821cd85b,Papercup,10.0,10,100.0,a87c7116-5041-422d-9ffb-58bebcc4db3d
2018-01-10T20:45:47.000000Z,ed6134ab-2ac9-4e82-90c5-063a90a0c565,Cup,42.0,1,42.0,502d9f83-bd65-4127-b76b-b5017016568b
2018-07-16T14:59:48.000000Z,60599c98-4411-4043-adb8-57d10f3cd249,Teapot,5.0,1,5.0,a1bdf9f2-d13f-47df-a742-b10e7c4150ca
2018-06-29T04:32:58.000000Z,7795c6dd-943a-4d52-88b4-c0ff9d7d9119,Bottle,10.0,2,20.0,d1dfdaac-c61a-4a48-9dee-c9051032e99b
2018-06-18T14:31:52.000000Z,55099df7-2d8a-4980-b852-a67fc6d88635,Glass,42.0,2,84.0,e8b31f21-7133-4d88-bb1b-d05f10543dfa
2018-06-17T03:13:47.000000Z,8a42ddc1-a1de-4d0b-97b6-fd0800280c4c,Teapot,40.0,1,40.0,76565c13-fbb3-4c25-a114-7b1a0bf4ef99
2018-01-20T01:07:10.000000Z,0810da36-7a26-44e7-88d0-9c968529615a,Tumbler,20.0,1,20.0,9180577d-e735-414f-970f-5531fc980364
2018-10-20T06:23:26.000000Z,c9c59fa9-4779-49bc-a33d-6f65544e00a9,Chalice,20.0,5,100.0,de57156c-f26f-43f9-b8ef-e1ee9e172f7f
2018-01-24T02:59:23.000000Z,3e3b3ea2-803c-4ae3-8198-7233fe78c2f8,Chalice,20.0,5,100.0,5268bd1b-73af-4314-ae2a-08f9382a24a8
2018-11-15T08:46:44.000000Z,7bbba5fa-bbd2-4828-a9c8-d96ebd3ae733,Bowl,15.0,5,75.0,161adb50-a2e1-43f1-aea6-98d063d16fcd
2018-01-14T06:03:24.000000Z,f37ed13e-f595-40d1-a650-504ee2c9006a,Mug,20.0,5,100.0,3c6bd107-6734-4371-bc1e-2f266cfcbefc
2018-04-26T23:16:29.000000Z,84f70126-9a19-457b-ae9f-29a1b743cb07,Tumbler,40.0,1,40.0,c61614bd-641d-459d-964f-91d6438ef38a
2018-03-21T03:54:06.000000Z,5e1d62f7-a79e-4414-83b6-3308b97a9011,Mug,21.0,1,21.0,944ff74b-4821-4fbd-9bad-e60f88d66935
2018-12-15T10:24:41.000000Z,8abac7c4-af90-4cf6-b29b-89b14f978bc0,Tumbler,21.0,5,105.0,a87c7116-5041-422d-9ffb-58bebcc4db3d
2018-06-18T18:51:23.000000Z,ccc32707-e3ac-4c92-8bfb-92d6ec9f7d33,Tumbler,20.0,2,40.0,4649afc1-cab9-4fd2-ae9a-11c8c18db824
2018-11-10T08:52:00.000000Z,6494dec4-02db-4672-bc42-398807038037,Bottle,20.0,2,40.0,2fea808d-ad66-4fc6-8b06-0653af11a61f
2018-07-23T19:09:43.000000Z,a6ad2c6e-f176-477e-90c2-6589435799f4,Bottle,40.0,5,200.0,255509f3-50eb-44f0-8d83-fb0901d6d8ad
2018-03-18T11:52:53.000000Z,29de8b7c-ddbb-4281-a0fb-69d2c97721b2,Tumbler,5.0,2,10.0,7a6333bb-9868-48cd-939e-2c402865af63
2018-08-22T05:25:03.000000Z,621cc0cc-f298-4ffa-aa99-a79c18cd77eb,Bowl,30.0,10,300.0,d8695658-79b7-4532-86bd-81fa75079115
